,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
73,0.3003939390182495,0.01684077874650757,0.09714546203613281,0.009436841417877683,166.81005372000558,0.3333333333333333,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6103730207599749,-0.4972559911971821,-0.5366189045344341,-0.550475167342747,-0.47506681458202926,-0.5099766002188859,-0.4582611174594683,-0.4763189110298233,-0.5260547240943885,-0.5636957012772043,-0.5204096952496138,0.0443542320056843,41
72,0.3046848297119141,0.018612308965344337,0.09285223484039307,0.010340670274879893,166.81005372000558,0.2222222222222222,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6103716431658952,-0.49725254237171257,-0.5366317731619864,-0.550489166914155,-0.47506669114986105,-0.5099815127449231,-0.45825749011136907,-0.476321620434175,-0.526056753925985,-0.5636741872704206,-0.5204103381250483,0.04435361509811202,42
71,0.2974064588546753,0.027074387408901553,0.09375154972076416,0.0072224521560793386,166.81005372000558,0.1111111111111111,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6103684761392596,-0.4972317839330655,-0.5366369673934246,-0.5504968006035277,-0.47506406437484217,-0.5099748357206945,-0.4582922767723476,-0.4763223840733911,-0.5260539151615042,-0.5636768935797147,-0.5204118397751772,0.04435046893051333,43
70,0.2680813789367676,0.016555037497273047,0.09465236663818359,0.005505998974416957,166.81005372000558,0.0,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.0}",-0.6103709210183623,-0.4972412557356606,-0.5366449593777634,-0.5505011717825203,-0.47506046972833965,-0.5099868037996801,-0.45827159423566616,-0.4763226320510542,-0.5260615406927526,-0.5637004646415342,-0.5204161813063333,0.04435641419680673,44
82,0.32612655162811277,0.021589987597072927,0.10133173465728759,0.012101931489803349,1291.5496650148827,0.2222222222222222,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6105210091146211,-0.49724585828654566,-0.5368920645046676,-0.550753475618788,-0.4750436174204921,-0.5100691047937997,-0.45835882845013176,-0.4763504857930185,-0.5261775946145703,-0.5637485629629426,-0.5205160601559577,0.044403796631129144,45
89,0.3563463449478149,0.038901261023350286,0.11549129486083984,0.017709763621767922,1291.5496650148827,1.0,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 1.0}",-0.6105182666893006,-0.4972444616989417,-0.5369007707412623,-0.5507447012002523,-0.4750435103043106,-0.5100824326201847,-0.45836197456970335,-0.47634953022968335,-0.5261917297223325,-0.5637274678249051,-0.5205164845600876,0.04440051691847659,46
86,0.31665616035461425,0.012488562836071387,0.10402133464813232,0.008402408941223733,1291.5496650148827,0.6666666666666666,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.6105132240515196,-0.49725530309567584,-0.5368965107881972,-0.5507408471567505,-0.4750458945161996,-0.5100702241660151,-0.45836774239807043,-0.4763498931964235,-0.5261985344914175,-0.5637378786894937,-0.5205176052549763,0.04439880683682274,47
88,0.34517602920532225,0.05097477107864974,0.11649010181427003,0.01687004645254295,1291.5496650148827,0.8888888888888888,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.61051806613144,-0.49724178828744536,-0.5368887704859482,-0.5507379516997895,-0.47504257148784407,-0.5100748939587938,-0.4583742587713786,-0.47635887451398073,-0.5262026927791401,-0.5637495413823371,-0.5205189409498098,0.044399627741183195,48
85,0.31645176410675047,0.011365186001231134,0.09624264240264893,0.006588810307072703,1291.5496650148827,0.5555555555555556,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6105121043368225,-0.49725172993437894,-0.5369033018164868,-0.5507405774670037,-0.4750457515754688,-0.5100831941396043,-0.45838393457782906,-0.476349255996093,-0.5261871139999025,-0.5637407384397373,-0.5205197702283326,0.044396638347798556,49
87,0.3448782920837402,0.024187607713739387,0.10312356948852539,0.007955506810541697,1291.5496650148827,0.7777777777777777,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6105163102431957,-0.4972639433792717,-0.5369036671579042,-0.5507464024719854,-0.47504374831596763,-0.5100749833680427,-0.45836064247834774,-0.4763487312946276,-0.5261890361757235,-0.5637573317534079,-0.5205204796638474,0.044402611809564486,50
83,0.3528564691543579,0.044147805270518335,0.11509265899658203,0.015445793144090449,1291.5496650148827,0.3333333333333333,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6105241463906881,-0.49725327845838807,-0.5369100805385265,-0.5507482172658031,-0.4750423785760682,-0.5100826553762331,-0.4583695988533586,-0.47635058046771867,-0.5261929866056377,-0.5637335797501606,-0.5205207502282583,0.04440137948514998,51
81,0.3323108673095703,0.026553215171815893,0.10043375492095948,0.015379076364365538,1291.5496650148827,0.1111111111111111,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6105103814971781,-0.49725021022376586,-0.5369059965907286,-0.5507522085543998,-0.47504402128071777,-0.5100821721580415,-0.4583537890389886,-0.476350645426275,-0.5262091966659928,-0.5637561576972663,-0.5205214779133354,0.04440332648024718,52
84,0.338096022605896,0.0443606075938503,0.10352592468261719,0.01189322071891631,1291.5496650148827,0.4444444444444444,"{'logistic_regression__C': 1291.5496650148827, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6105099877707868,-0.4972527415521711,-0.5369032667304763,-0.550749249471808,-0.4750438341648248,-0.5100829401635418,-0.45838205496150086,-0.47634973158268357,-0.5262048898392397,-0.563743294529039,-0.5205221990766071,0.04439763955875088,53
